graph,algo,diameter,bfs_count,startvtx_degree,startvtx_ecc,time_diameter_exact
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=489_square,q2,12,6,11,8,161.481
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=489_square,q3,12,4,134,8,841.101
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=489_square,q4,12,3,1557,7,414.603
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=489_square,q5,12,3,18032,7,56.8176
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=64,ifub_foursweephd,12,7,23950,6,355.906
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=64,ifub_hd,12,3,23950,6,195.155
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=64,random,12,35,1,8,3571.54
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=64,q1,12,37,1,8,1956.9
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=64,q2,12,7,12,7,435.326
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=64,q3,12,5,154,7,512.076
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=64,q4,12,11,1958,6,1019.27
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=64,q5,12,3,23950,6,178.444
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=64_square,ifub_foursweephd,13,7,18358,7,84.9694
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=64_square,ifub_hd,13,3,18358,7,297.712
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=64_square,random,13,17,1,8,1455.45
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=64_square,q1,13,50,1,9,236.702
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=64_square,q2,13,7,11,8,897.137
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=64_square,q3,13,6,135,8,443.529
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=64_square,q4,13,4,1648,7,176.734
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=64_square,q5,13,3,18358,7,441.558
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=836,ifub_foursweephd,11,7,23935,6,1298.93
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=836,ifub_hd,11,3,23935,6,101.868
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=836,random,11,52,4,7,1754.08
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=836,q1,11,25,1,7,2450.92
